course_name,id,field,prereq,difficulty,Year,Score
algorithm_design_and_analysis,ada,man,,hard,2,0
data_structures,dsa,man,,hard,2,0
operating_systems,os,man,,hard,2,0
database_managament_system,dbms,man,,easy,2,0
discrete_math,dm,math,,easy,2,0
maths_3,m3,math,,easy,2,0
network_biology,nb,bio,dsa,hard,3,0
machine_learning_for_biomedical_applications,mlba,bio,,easy,3,0
computational_gastronomy,cgas,bio,,easy,3,0
chemoinformatics,chi,bio,ml,hard,3,0
biophysics,biop,bio,,easy,3,0
computer_networks,cn,sde,os,easy,3,0
digital_image_processing,dip,elec,sns,hard,3,0
cloud_computing,cldc,cyber_sec,cn,hard,3,0
foundation_of_computer_security,fcs,cyber_sec,cn,hard,3,0
artificial_intelligence,ai,ai_ml,dm,easy,3,0
machine_learning ,ml,ai_ml,m3,hard,3,0
modern_algorithm_design,mad,sde,ada,hard,3,0
parallel_runtimes_for_modern_processors,prmp,elec,ap,easy,3,0
natural_language_processing,nlp,ai_ml,ada,hard,3,0
data_mining,dmg,data_science,dbms,easy,3,0
applied_cryptography,ac,cyber_sec,dm,hard,3,0
solid_state_devices,ssd,elec,,easy,3,0
digital_communication_system,dcs,elec,pcs,easy,3,0
optical_and_wireless_convergence,owc,elec,,hard,3,0
robotics,irob,elec,,hard,3,0
integrated_circuit_fabrication,icf,elec,,easy,3,0
quantum_materials_and_devices,qmd,elec,,hard,3,0
data_processing_and_management,dpm,elec,,easy,3,0
wireless_system_implementation,wsi,elec,pcs,easy,3,0
design_futures,df,ui_ux,dis,easy,3,0
introduction_to_animation_and_graphics,iag,ui_ux,,easy,3,0
three_d_animation_and_film_making,threedaf,ui_ux,,hard,3,0
digital_audio_and_video_production,davp,ui_ux,,easy,3,0
ergonomics_human_factors_for_design,efd,ui_ux,,easy,3,0
topics_in_number_theory,tnt,math,nt,easy,3,0
complex_analysis,cmpa,math,ra1,hard,3,0
scientific computing,sc,math,m1,hard,3,0
real_analysis_2,ra2,math,ra1,hard,3,0
stochastic_processes_and_applications,spa,math,pns,easy,3,0
integral_transforms_and_their_applications,ita,math,m4,easy,3,0
foundation_of_finance,ff,eco,,easy,3,0
gender_and_media,gnm,hum,,easy,3,0
game_theory,gt,eco,,hard,3,0
neuroscience_of_decision_making,ndm,psy,,easy,3,0
philosophy_of_technology,pt,hum,,easy,3,0
technology_and_future_of_work,tfw,psy,,easy,3,0
cognition_of_motor_movement,cmm,psy,,easy,3,0
